Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Aaniiih Nakoda College,8381,7777,7472,MT,1,1,1,1,Aaniiih Nakoda College,-108.757816,48.484196,,,17030,17030,8510,8510,,,17030,17030,8510,8510,,,,,17030,17030,8510,8510,6497,,,17030,17030,8510,8510,,,17030,17030,8510,8510,,,17030,17030,8510,8510,1300,1300,1300,1300,1300,1300,1300,
Abilene Christian University-Undergraduate Online,,,,TX,2,1,1,1,Abilene Christian University-Undergraduate Online,-96.826833,32.977065,,,30670,30670,19042,19042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,,,,,,
Abraham Baldwin Agricultural College,7744,8106,6823,GA,1,1,1,2,Abraham Baldwin Agricultural College,-83.528281,31.481889,15727,22633,13965,20871,7765,14671,15575,22481,13865,20771,7665,14571,,,15479,22385,13865,20771,7665,14571,8123,15345,22083,13803,20541,7603,14341,15121,21859,13803,20541,7603,14341,15025,21632,14053,20660,7653,14260,1000,900,900,900,900,1000,1000,
Academy College,,,,MN,3,1,1,1,Academy College,-93.299809,44.855722,,,38118,38118,29579,29579,,,38182,38182,29643,29643,23841,,,,37509,37509,28970,28970,,,,36902,36902,28363,28363,,,36902,36902,28363,28363,,,36650,36650,28111,28111,1685,1694,1269,1452,1452,1452,1452,
Academy of Interactive Entertainment,,,,LA,5,2,1,1,Academy of Interactive Entertainment,-92.043315,30.220037,,,36621,36621,27513,27513,,,37522,37522,27142,27142,23807,24970,,,36522,36522,26142,26142,,,,34113,34113,26769,26769,,,31113,31113,23769,23769,,,34580,34580,20550,20550,,,,,,0,0,
Advanced Technology Institute,,,,VA,6,2,1,1,Advanced Technology Institute,-76.182268,36.841381,,,25933,25933,17263,17263,,,25656,25656,16986,16986,18999,19435,,,25656,25656,16986,16986,,,,25656,25656,16986,16986,,,25706,25706,17036,17036,,,25610,25610,17360,17360,480,480,480,480,480,480,450,
Agape College of Business and Science,,,,CA,5,2,1,1,Agape College of Business and Science,-119.787874,36.741252,,,27396,27396,9868,9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163,1163,1083,1083,,,,
Aiken Technical College,4033,4362,3525,SC,4,2,1,2,Aiken Technical College,-81.841666,33.533833,,,16956,18530,10206,11780,,,16956,18530,10206,11780,,,,,16836,18530,10086,11780,3411,,,13116,14950,9516,11350,,,13028,15030,8828,10830,,,12308,14234,8708,10634,1500,1500,1500,1000,1000,1000,1000,
Aims Community College,8058,7189,6812,CO,4,2,1,3,Aims Community College,-104.763415,40.409559,,,21446,29102,9574,17230,,,21446,29102,9493,17149,,,,,20134,27790,9493,17149,6216,,,19819,27487,9333,17001,,,19819,27487,9333,17001,,,18055,25723,8929,16597,1475,1475,1475,1475,1475,1475,1475,
Alamance Community College,17040,15521,16225,NC,4,2,1,2,Alamance Community College,-79.357657,36.066683,,,26901,33045,16419,22563,,,32421,38565,16971,23115,,,,,29403,33939,16457,20993,9612,,,26131,31123,17551,22543,,,21128,26120,11411,16403,,,22800,28680,13393,19273,4456,2960,3114,4286,2615,3929,2874,
Alaska Bible College,,,,AK,2,1,1,1,Alaska Bible College,-149.111972,61.598553,20856,20856,26314,26314,16146,16146,19471,19471,25174,25174,15030,15030,19746,14477,20278,20278,25450,25450,14478,14478,,19980,19980,25022,25022,14280,14280,19654,19654,24509,24509,13954,13954,19560,19560,24297,24297,13860,13860,400,400,400,600,600,600,600,
Alaska Christian College,,,,AK,5,2,1,1,Alaska Christian College,-151.136005,60.490459,22344,22344,23491,23491,10994,10994,22344,22344,23491,23491,10994,10994,6962,4981,21969,21969,23291,23291,10794,10794,,21594,21594,23091,23091,10594,10594,20544,20544,22291,22291,9794,9794,20094,20094,22091,22091,9594,9594,80,80,80,80,80,80,80,
Albany Technical College,7844,479,88,GA,4,2,1,2,Albany Technical College,-84.174284,31.554340,,,14251,16651,9220,11620,,,17113,19513,10133,12533,,,,,9993,12393,5343,7743,449,,,9709,11845,5059,7195,,,9709,11845,5059,7195,,,9225,11365,4997,7137,410,694,800,800,800,800,800,
Albion College,,,,MI,2,1,1,2,Albion College,-84.745639,42.245049,66970,66970,66970,66970,55090,55090,64655,64655,64655,64655,52775,52775,17663,19913,62155,62155,62155,62155,50275,50275,,59470,59470,59470,59470,47590,47590,56750,56750,56750,56750,45020,45020,54150,54150,54150,54150,42860,42860,700,700,700,700,700,700,800,
Alexandria Technical & Community College,13189,12976,13175,MN,4,2,1,2,Alexandria Technical & Community College,-95.372369,45.873107,,,19768,19768,14306,14306,,,19453,19453,14045,14045,,,,,19065,19065,13865,13865,13235,,,18916,18916,13716,13716,,,18910,18910,13710,13710,,,18858,18858,13658,13658,1200,1200,1200,1200,1200,1200,1200,
Alice Lloyd College,,,,KY,2,1,1,1,Alice Lloyd College,-82.875068,37.335087,28120,28120,24480,24480,20630,20630,28120,28120,24480,24480,20630,20630,15120,14075,25890,25890,22480,22480,18630,18630,,24290,24290,21800,21800,17950,17950,24290,24290,21800,21800,17950,17950,24290,24290,21800,21800,17950,17950,1400,1400,1400,1400,1400,1400,1500,
Allan Hancock College,6629,5520,6225,CA,4,2,1,3,Allan Hancock College,-120.421144,34.943716,,,23285,29981,7032,13728,,,23011,29305,6431,12725,,,,,22403,28555,7319,13471,5387,,,21296,26728,7517,12949,,,20732,26164,7580,13012,,,18734,24138,7358,12762,1125,1971,1971,1917,1854,1746,1746,
Allegany College of Maryland,8472,9772,9155,MD,4,2,1,2,Allegany College of Maryland,-78.730398,39.652152,24480,26490,24480,26490,13680,15690,24434,26444,24434,26444,13634,15644,,,24224,26144,24224,26144,13424,15344,9804,23636,25346,23636,25346,12836,14546,23144,24524,23144,24524,12404,13784,22738,24088,22738,24088,11998,13348,1540,1484,1540,1540,1624,1512,1428,
Allegheny College,,,,PA,2,1,1,2,Allegheny College,-80.147168,41.648690,69450,69450,66950,66950,56030,56030,67560,67560,63560,63560,54480,54480,25880,25415,65400,65400,62900,62900,52760,52760,,63180,63180,60680,60680,51040,51040,61120,61120,58620,58620,49470,49470,58920,58920,56420,56420,47750,47750,1000,1000,1000,1000,1000,1000,1000,
Allegheny Wesleyan College,,,,OH,2,1,1,1,Allegheny Wesleyan College,-80.861232,40.867220,14612,14612,15270,15270,11220,11220,14612,14612,15270,15270,11220,11220,8801,5450,14412,14412,13340,13340,10860,10860,,14412,14412,13340,13340,10860,10860,12412,12412,11340,11340,8860,8860,12412,12412,11340,11340,8860,8860,800,800,800,800,800,800,800,
Allen County Community College,8742,8579,8668,KS,4,2,1,2,Allen County Community College,-95.396377,37.938038,14824,14824,14824,14824,7524,7524,14824,14824,14824,14824,7524,7524,,,14524,14524,14524,14524,7224,7224,7138,15026,15026,14906,14906,7856,7856,12634,12634,14584,14584,7684,7684,11780,11780,13850,13850,6950,6950,392,392,392,448,500,500,500,
Alpena Community College,4259,3883,3177,MI,1,1,1,2,Alpena Community College,-83.445069,45.081647,17070,17070,16420,16420,9720,9720,16860,16860,16210,16210,9510,9510,,,16350,16350,16150,16150,9450,9450,3106,16140,16140,15940,15940,9440,9440,15430,15430,15230,15230,9030,9030,,,14350,14350,8850,8850,1000,1000,1000,1000,1000,1000,1000,
Alvin Community College,10078,10596,10917,TX,4,2,1,2,Alvin Community College,-95.240671,29.396244,,,16837,18013,9115,10291,,,16779,17955,9094,10270,,,,,16731,17883,9046,10198,7166,,,16729,17881,9044,10196,,,16671,17823,8986,10138,,,16547,17747,8867,10067,1795,1795,1795,1795,1795,1778,1775,
Amarillo College,6302,6215,6005,TX,4,2,1,3,Amarillo College,-101.846988,35.187839,,,16149,17685,9178,10714,,,16088,17624,9150,10686,,,,,15880,17416,9054,10590,4740,,,15524,17060,8893,10429,,,15319,16855,8805,10341,,,15072,16608,8622,10158,1768,1760,1732,1690,1674,1656,1654,
American Academy McAllister Institute of Funeral Service,,,,NY,5,2,1,1,American Academy McAllister Institute of Funeral Service,-73.986466,40.757105,,,30292,30292,20492,20492,,,30292,30292,20492,20492,17431,20423,,,29775,29775,19975,19975,,,,28985,28985,19285,19285,,,28185,28185,19185,19185,,,27668,27668,18668,18668,1000,1000,1000,1000,1000,1000,1000,
American Academy of Art College,,,,IL,3,1,1,1,American Academy of Art College,-87.624788,41.877420,,,47236,47236,41147,41147,,,46024,46024,39935,39935,27125,26843,,,46024,46024,39935,39935,,,,45024,45024,38935,38935,,,43974,43974,37885,37885,,,42974,42974,36885,36885,1600,1600,1600,1600,1600,1600,1600,
American Academy of Dramatic Arts-Los Angeles,,,,CA,5,2,1,1,American Academy of Dramatic Arts-Los Angeles,-118.343701,34.095378,53175,53175,59040,59040,44100,44100,53175,53175,59040,59040,44100,44100,40348,39696,51775,51775,58000,58000,43060,43060,,50385,50385,56970,56970,42030,42030,48990,48990,55980,55980,41040,41040,48010,48010,55000,55000,40060,40060,570,570,570,570,570,570,570,
American Academy of Dramatic Arts-New York,,,,NY,5,2,1,1,American Academy of Dramatic Arts-New York,-73.984843,40.745545,61509,61509,60257,60257,43829,43829,61509,61509,60257,60257,43829,43829,44437,41850,60109,60109,58857,58857,42789,42789,,58619,58619,57619,57619,41584,41584,56340,56340,56195,56195,40420,40420,55080,55080,52860,52860,38960,38960,570,570,570,570,570,570,570,
American Baptist College,,,,TN,2,1,1,1,American Baptist College,-86.789912,36.202623,27044,27044,28028,28028,18404,18404,27044,27044,28028,28028,18404,18404,22447,18549,27044,27044,28028,28028,18404,18404,,24644,24644,25628,25628,16004,16004,24644,24644,25628,25628,16004,16004,24644,24644,25628,25628,16004,16004,1500,1500,1500,1500,1500,1500,1500,
American College of the Building Arts,,,,SC,2,1,1,1,American College of the Building Arts,-79.946888,32.805094,,,38311,38311,25970,25970,,,37960,37960,26145,26145,29172,26022,,,37384,37384,25720,25720,,,,,,,,,,,,,,,,,,,,950,950,950,850,825,800,,
American River College,8101,7523,7089,CA,4,2,1,5,American River College,-121.349672,38.650850,,,24508,33388,6686,15566,,,24902,33374,7764,16236,,,,,20490,28314,7467,15291,8829,,,20490,28098,7467,15075,,,20490,27594,7467,14571,,,19548,26148,7316,13916,1124,1972,1854,1854,1854,1792,1746,
Amherst College,,,,MA,2,1,1,2,Amherst College,-72.518493,42.372459,80050,80050,80050,80050,63950,63950,79600,79600,79600,79600,63690,63690,19275,19519,76750,76750,76750,76750,61440,61440,,73966,73966,73966,73966,59226,59226,71300,71300,71300,71300,57110,57110,68986,68986,68986,68986,55276,55276,1000,1000,1000,1000,1000,1000,1000,
Andrew College,,,,GA,2,1,1,1,Andrew College,-84.795021,31.772321,35996,35996,,,,,36954,36954,,,,,19269,18090,35482,35482,,,,,,37528,37528,,,,,35621,35621,,,,,32800,32800,,,,,1500,1500,1500,1500,1400,1200,1200,
Angelina College,9332,9373,8749,TX,4,2,1,2,Angelina College,-94.731625,31.287444,18955,20305,21031,22381,12955,14305,14818,16168,18623,19973,11343,12693,,,14710,16060,18324,19674,11252,12602,8797,14391,15741,18010,19360,10635,11985,14271,15621,17890,19240,10515,11865,13880,15260,17060,18440,10360,11740,1641,1633,1586,1540,1515,1500,1500,
Anne Arundel Community College,14188,14692,13174,MD,4,2,1,4,Anne Arundel Community College,-76.512223,39.049813,,,26155,30805,15012,19662,,,25618,30628,14596,19606,,,,,25325,30245,14477,19397,13963,,,24840,29700,14078,18938,,,24328,29188,13798,18658,,,24273,29043,13919,18689,1002,1002,1262,1262,1262,1602,1581,
Anoka Technical College,12407,13362,11497,MN,4,2,1,2,Anoka Technical College,-93.416087,45.216709,,,21819,21819,14043,14043,,,21556,21556,13780,13780,,,,,21478,21478,13702,13702,12637,,,21328,21328,13552,13552,,,21128,21128,13552,13552,,,21076,21076,13502,13502,1200,1200,1200,1200,1200,1200,1200,
Anoka-Ramsey Community College,10929,11982,11213,MN,4,2,1,3,Anoka-Ramsey Community College,-93.351697,45.172978,,,21259,21259,13483,13483,,,21030,21030,13254,13254,,,,,20951,20951,13175,13175,10919,,,20817,20817,13041,13041,,,20603,20603,13027,13027,,,20522,20522,12947,12947,1200,1200,1200,1200,1200,1200,1200,
Antelope Valley Community College District,6203,8085,6234,CA,1,1,1,4,Antelope Valley Community College District,-118.186166,34.676207,,,14824,20680,6641,12497,,,15024,20880,6638,12494,,,,,14824,20080,6524,11780,4646,,,14899,20275,6599,11975,,,14899,20275,6599,11975,,,15079,20143,6696,11760,900,900,1125,1917,1854,1484,1300,
Antigua College International,,,,FL,3,1,1,1,Antigua College International,-80.327618,25.904817,,,26169,26169,24007,24007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,452,452,452,,,,
Antioch College,,,,OH,2,1,1,1,Antioch College,-83.888077,39.799806,50383,50383,52343,52343,42743,42743,50383,50383,52343,52343,42743,42743,19047,19543,50383,50383,52343,52343,42743,42743,,52628,52628,50768,50768,41168,41168,52628,52628,50768,50768,41168,41168,51732,51732,49968,49968,40168,40168,1200,1200,1200,1200,1200,1200,900,
Apex College of Veterinary Technology,,,,CO,6,2,1,1,Apex College of Veterinary Technology,-104.813477,38.828277,,,25850,25850,15850,15850,,,25850,25850,15850,15850,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,,,
Arapahoe Community College,11277,9923,9435,CO,1,1,1,4,Arapahoe Community College,-105.018631,39.607505,,,25021,36443,12151,23573,,,24968,36392,12098,23522,,,,,22958,34046,11258,22346,8620,,,22955,34043,11255,22343,,,21263,32027,10778,21542,,,20179,30379,10333,20533,2200,2200,2000,2000,1800,1800,1800,
Arizona Christian University,,,,AZ,2,1,1,2,Arizona Christian University,-112.181776,33.622952,49424,49424,49424,49424,38424,38424,46721,46721,47850,47850,37050,37050,21378,22368,45338,45338,45790,45790,35290,35290,,42670,42670,42996,42996,32996,32996,39978,39978,41158,41158,31158,31158,38644,38644,40096,40096,30096,30096,1600,1600,1400,1200,1200,1200,1200,
Arizona Western College,9877,9747,10121,AZ,4,2,1,3,Arizona Western College,-114.495968,32.689306,18583,27133,18951,27501,13371,21921,17631,24621,18891,25881,13311,20301,,,17439,24429,18831,25821,13251,20241,9240,17379,24369,18771,25761,13191,20181,17211,24201,18711,25701,13131,20121,16562,23552,18168,25158,12588,19578,2000,2000,2000,2000,2000,1517,1517,
Arkansas Baptist College,,,,AR,2,1,1,1,Arkansas Baptist College,-92.290555,34.734751,23060,23060,22014,22014,14234,14234,23060,23060,22014,22014,14234,14234,15745,17423,23060,23060,22014,22014,14234,14234,,23060,23060,22014,22014,14234,14234,23060,23060,22014,22014,14234,14234,23060,23060,22014,22014,14234,14234,1000,1000,1000,1000,1000,1000,1000,
Arkansas Northeastern College,4678,4486,5079,AR,4,2,1,2,Arkansas Northeastern College,-89.921005,35.898597,,,16165,17565,8416,9816,,,16033,17433,8284,9684,,,,,16077,17477,8328,9728,5078,,,16190,17590,8515,9915,,,15870,17270,8406,9806,,,15753,17153,8323,9723,751,794,994,1272,1301,1308,1335,
Arkansas State University Mid-South,8604,7185,6664,AR,4,2,1,2,Arkansas State University Mid-South,-90.222850,35.145736,,,19091,20051,9622,10582,,,19091,20051,9622,10582,,,,,18579,19539,9019,9979,12625,,,18507,19467,8947,9907,,,18507,19467,8947,9907,,,18883,18883,9554,9554,1460,1460,1390,1390,1390,2000,2000,
Arkansas State University Three Rivers,3739,6933,6676,AR,4,2,1,2,Arkansas State University Three Rivers,-92.821416,34.378745,,,16466,18890,6784,9208,,,16466,18890,6784,9208,,,,,16930,19378,6916,9364,6855,,,16898,19808,7216,10126,,,16688,19538,7400,10250,,,16475,19265,7340,10130,1200,1200,1200,1200,1200,1200,1200,
Arkansas State University-Beebe,9977,9084,9220,AR,4,2,1,2,Arkansas State University-Beebe,-91.895351,35.074176,16836,18564,21448,23176,12258,13986,16090,17818,20667,22395,11963,13691,,,15896,17624,20051,21779,11667,13395,7145,15201,16929,19452,21180,11305,13033,13262,15422,18624,20784,8974,11134,13733,15833,18551,20651,9741,11841,1200,1000,1000,1200,1300,1256,1256,
Arkansas State University-Mountain Home,9975,10191,11428,AR,4,2,1,2,Arkansas State University-Mountain Home,-92.388581,36.320466,,,21568,23128,9598,11158,,,21568,23128,9598,11158,,,,,21568,23128,9598,11158,11339,,,21520,23128,9550,11158,,,21496,23104,9526,11134,,,21448,23032,9478,11062,1600,1600,1600,1600,1600,1600,1600,
Arkansas State University-Newport,9102,8987,8373,AR,4,2,1,2,Arkansas State University-Newport,-91.188846,35.638722,,,19232,20696,9456,10920,,,19232,20696,9456,10920,,,,,19289,20681,9513,10905,6384,,,18662,20126,9178,10642,,,19090,20554,9810,11274,,,21151,22567,9994,11410,548,548,548,530,1440,1872,1200,
ASA College,,,,NY,3,1,1,2,ASA College,-73.986076,40.691464,33571,33571,38262,38262,21418,21418,33085,33085,37690,37690,21112,21112,26401,27331,33537,33537,37893,37893,21671,21671,,33460,33460,37592,37592,21689,21689,33051,33051,36966,36966,21374,21374,33818,33818,37733,37733,22141,22141,1000,1000,1500,1500,1500,1500,1500,
Ascent College,,,,VA,2,1,1,1,Ascent College,-76.409526,37.041270,,,27198,27198,14598,14598,,,22450,22450,11220,11220,,11154,,,22177,22177,11213,11213,,,,21898,21898,11156,11156,,,21353,21353,10798,10798,,,21215,21215,10776,10776,700,700,700,700,700,700,700,
Asheville-Buncombe Technical Community College,7964,6259,7729,NC,4,2,1,3,Asheville-Buncombe Technical Community College,-82.554826,35.570439,,,16634,22778,9758,15902,,,16634,22778,9758,15902,,,,,16634,22778,9758,15902,8356,,,16634,22778,9758,15902,,,17104,23248,10228,16372,,,17049,23193,10173,16317,2000,2000,2000,2000,2000,2000,2000,
Ashland Community and Technical College,6246,6605,6442,KY,4,2,1,2,Ashland Community and Technical College,-82.650664,38.469201,,,16142,26894,8634,19386,,,15584,26336,8434,19186,,,,,15193,25633,8218,18658,6451,,,15073,25225,8098,18250,,,14905,24625,7930,17650,,,14762,24122,7786,17146,1078,1026,1000,1000,1000,1000,1000,
Asnuntuck Community College,8783,7455,7982,CT,4,2,1,2,Asnuntuck Community College,-72.570177,41.998409,,,24426,33338,11936,20848,,,20988,29900,10144,19056,,,,,20988,29940,10144,19096,7690,,,19584,28352,9832,18600,,,19210,27762,9684,18236,,,19052,27388,9535,17871,1500,1464,1464,1392,1362,1362,1346,
ASPIRA City College,,,,PA,5,2,1,1,ASPIRA City College,-75.135042,40.017493,,,31455,31455,19008,19008,,,27017,27017,16307,16307,8906,11622,,,27017,27017,16307,16307,,,,26917,26917,16207,16207,,,26103,26103,16324,16324,,,23863,23863,13869,13869,1340,1100,1100,1000,1000,1000,1000,
Associated Beth Rivkah Schools,,,,NY,2,1,1,1,Associated Beth Rivkah Schools,-73.950704,40.665544,,,27250,27250,13800,13800,,,26886,26886,13700,13700,13127,11877,,,26360,26360,13600,13600,,,,26014,26014,13600,13600,,,25340,25340,13300,13300,,,24974,24974,13300,13300,200,200,200,200,200,200,200,
Assumption College for Sisters,,,,NJ,5,2,1,1,Assumption College for Sisters,-74.490693,40.905857,12278,12278,12308,12308,7458,7458,12278,12278,12308,12308,7458,7458,,,12253,12253,12253,12253,7403,7403,,12196,12196,12196,12196,7346,7346,10984,10984,11874,11874,7174,7174,10974,10974,11874,11874,7174,7174,135,135,130,130,130,130,130,
ATA Career Education,,,,FL,6,2,1,1,ATA Career Education,-82.595376,28.452699,,,31925,31925,23341,23341,,,31549,31549,22990,22990,19931,18277,,,29373,29373,20901,20901,,,,29032,29032,20806,20806,,,27852,27852,19806,19806,,,24574,24574,18428,18428,3416,3084,3104,3104,2492,2993,3125,
ATA College,,,,KY,6,2,1,1,ATA College,-85.563365,38.223667,,,31386,31386,22710,22710,,,30919,30919,22360,22360,19965,21395,,,30239,30239,21766,21766,,,,29936,29936,21710,21710,,,28191,28191,20145,20145,,,28074,28074,20172,20172,3416,3084,3024,2993,2993,2993,2993,
ATA College,,,,OK,6,2,1,1,ATA College,-95.856621,36.098554,,,29469,29469,20793,20793,,,,,,,8889,9165,,,,,,,,,,,,,,,,,,,,,,,,,,3416,3245,3082,3082,,,,
ATA College-Cincinnati,,,,OH,6,2,1,1,ATA College-Cincinnati,-84.478867,39.296710,,,29689,29689,21013,21013,,,29227,29227,20668,20668,30135,21040,,,35861,35861,20456,20456,,,,35808,35808,20355,20355,,,35808,35808,20355,20355,,,35029,35029,20341,20341,3416,2200,2000,2000,2000,2000,2000,
Athens Technical College,6410,5725,5782,GA,4,2,1,2,Athens Technical College,-83.339598,33.990183,,,18902,21302,9011,11411,,,15352,17752,8540,10940,,,,,15084,17212,8272,10400,5841,,,14688,16824,7965,10101,,,12690,14826,7385,9521,,,12674,14810,7395,9531,900,900,900,900,900,900,900,
Atlanta Metropolitan State College,6295,7798,4906,GA,1,1,1,2,Atlanta Metropolitan State College,-84.404659,33.708930,,,16019,22645,9115,15741,,,15595,22221,9115,15741,,,,,15595,22221,9115,15741,5026,,,14586,21050,7296,13760,,,13596,20060,7296,13760,,,13510,19848,7210,13548,1440,1440,1440,1980,1980,1980,1980,
Atlanta Technical College,-102,-229,-334,GA,4,2,1,2,Atlanta Technical College,-84.404995,33.712009,,,11164,13564,5964,8364,,,11084,13484,5884,8284,,,,,11084,13484,5884,8284,2618,,,10820,12956,5620,7756,,,10691,12827,5566,7702,,,10481,12617,5356,7492,1300,1300,1300,1300,1250,1100,1100,
Atlantic Cape Community College,10285,9333,8923,NJ,4,2,1,2,Atlantic Cape Community College,-74.680019,39.462081,,,33040,34540,13440,14940,,,33540,35040,13440,14940,,,,,33438,34938,13338,14838,8138,,,33018,34518,12918,14418,,,32491,34051,12891,14451,,,32347,33907,12747,14307,1900,1900,1900,1900,1900,1900,1900,
Augusta Technical College,11887,9136,9672,GA,4,2,1,2,Augusta Technical College,-82.048439,33.418992,,,28059,30459,6896,9296,,,28059,30459,6896,9296,,,,,28059,30459,6896,9296,9020,,,19428,21564,8394,10530,,,19428,21564,8394,10530,,,19338,21474,8304,10440,2000,2000,2000,2000,2000,2000,2000,
Aultman College of Nursing and Health Sciences,,,,OH,2,1,1,1,Aultman College of Nursing and Health Sciences,-81.404053,40.796186,,,33494,33494,26038,26038,,,33134,33134,25678,25678,16664,15971,,,33134,33134,25678,25678,,,,28700,28700,22670,22670,,,28190,28190,22160,22160,,,27560,27560,21530,21530,1546,1546,1546,2000,2000,2000,2000,
Austin Community College District,4233,4822,4786,TX,1,1,1,5,Austin Community College District,-97.712505,30.322744,,,24276,26286,14036,16046,,,26526,28716,16286,18476,,,,,26526,28716,16286,18476,7233,,,26526,28716,16286,18476,,,25370,27560,15898,18088,,,25370,27560,15898,18088,1200,1200,1200,1200,1200,1200,1200,
Aviation Institute of Maintenance-Atlanta,,,,GA,6,2,1,1,Aviation Institute of Maintenance-Atlanta,-84.147864,33.948914,,,34576,34576,22928,22928,,,33526,33526,22760,22760,19499,21920,,,32838,32838,22471,22471,,,,31931,31931,21942,21942,,,31224,31224,21725,21725,,,31064,31064,21578,21578,1000,1000,900,700,700,700,700,
Aviator College of Aeronautical Science and Technology,,,,FL,6,2,1,1,Aviator College of Aeronautical Science and Technology,-80.367303,27.487180,39697,39697,43625,43625,33297,33297,41554,41554,43482,43482,34650,34650,35670,39411,34488,34488,35448,35448,25912,25912,,96636,96636,95592,95592,86514,86514,96636,96636,95592,95592,86514,86514,93704,93704,92660,92660,83882,83882,975,975,500,1500,1500,1500,1500,
Bacone College,,,,OK,2,1,1,1,Bacone College,-95.334046,35.777082,31050,31050,25590,25590,18700,18700,31050,31050,,,,,21444,20686,31050,31050,,,,,,35150,35150,,,,,35150,35150,,,,,35200,35200,,,,,2500,2500,2500,2500,2500,2500,2500,
Bais Binyomin Academy,,,,NY,2,1,1,1,Bais Binyomin Academy,-74.078802,41.123013,20400,20400,29300,29300,15850,15850,19800,19800,28636,28636,15450,15450,18948,20243,19200,19200,27810,27810,15050,15050,,18050,18050,26664,26664,14250,14250,17300,17300,25840,25840,13800,13800,15800,15800,24774,24774,13100,13100,200,200,200,200,200,200,200,
Bais HaMedrash and Mesivta of Baltimore,,,,MD,2,1,1,1,Bais HaMedrash and Mesivta of Baltimore,-76.674414,39.379528,22800,22800,31550,31550,19300,19300,22600,22600,31300,31300,19300,19300,7972,12397,22350,22350,30950,30950,19200,19200,,22100,22100,30700,30700,19200,19200,21800,21800,30150,30150,18900,18900,21500,21500,29600,29600,18600,18600,200,200,200,200,200,200,200,
Bais Medrash Elyon,,,,NY,2,1,1,1,Bais Medrash Elyon,-74.069798,41.114079,15400,15400,27850,27850,14400,14400,15400,15400,27586,27586,14400,14400,4000,,15400,15400,27160,27160,14400,14400,,15400,15400,26814,26814,14400,14400,15400,15400,26440,26440,14400,14400,15400,15400,26074,26074,14400,14400,200,200,200,200,200,200,200,
Bais Medrash Mayan Hatorah,,,,NJ,2,1,1,1,Bais Medrash Mayan Hatorah,-74.204332,40.107414,18050,18050,30900,30900,17450,17450,16850,16850,29210,29210,16450,16450,11148,11355,16850,16850,29210,29210,16450,16450,,16650,16650,28864,28864,16450,16450,16250,16250,27290,27290,15250,15250,,,,,,,200,200,200,200,200,200,200,
Bais Medrash of Dexter Park,,,,NY,2,1,1,1,Bais Medrash of Dexter Park,-74.045927,41.081404,,,28850,28850,15400,15400,,,28586,28586,15400,15400,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,,,
Bais Medrash Toras Chesed,,,,NJ,2,1,1,1,Bais Medrash Toras Chesed,-74.211270,40.099704,12500,12500,,,,,12500,12500,,,,,6873,8984,12100,12100,,,,,,11300,11300,,,,,16000,16000,,,,,15750,15750,,,,,400,400,400,400,400,400,400,
